,ATP Rankings (Singles) as of 1 March 2021[1],ATP Rankings (Singles) as of 1 March 2021[1],ATP Rankings (Singles) as of 1 March 2021[1],ATP Rankings (Singles) as of 1 March 2021[1],ATP Rankings (Singles) as of 1 March 2021[1]
,#,Player,Points,Move†,Unnamed: 4_level_1
0,1,Novak Djokovic (SRB),12030,,
1,2,Rafael Nadal (ESP),9850,,
2,3,Daniil Medvedev (RUS),9735,,
3,4,Dominic Thiem (AUT),9125,,
4,5,Roger Federer (SUI),6630,,
5,6,Stefanos Tsitsipas (GRE),6595,,
6,7,Alexander Zverev (GER),5615,,
7,8,Andrey Rublev (RUS),4609,,
8,9,Diego Schwartzman (ARG),3480,,
9,10,Matteo Berrettini (ITA),3480,,
10,11,Denis Shapovalov (CAN),2910,,
11,12,Gaël Monfils (FRA),2860,,
12,13,Roberto Bautista Agut (ESP),2710,,
13,14,David Goffin (BEL),2760,1.0,
14,15,Milos Raonic (CAN),2630,1.0,
15,16,Pablo Carreño Busta (ESP),2585,,
16,17,Grigor Dimitrov (BUL),2575,,
17,18,Fabio Fognini (ITA),2535,,
18,19,Félix Auger-Aliassime (CAN),2516,,
19,20,Stan Wawrinka (SUI),2365,,
